Unnamed: 0,ABC分析,订购金额,在订单总额中的份额,在搜索结果和目录中的位置,总展示次数,从展示到点击的转化率,搜索结果和目录中的展示次数,从搜索结果和目录中添加至购物车的转化率,从搜索结果和目录中添加至购物车,从搜索结果和目录中进入卡片的转化率,商品卡片访问,从商品卡片添加至购物车的转化率,从商品卡片添加至购物车,添加至购物车的转化率总计,添加至购物车总计,从购物车到订单的转化率,已订购商品,已配送商品,从订单到认购的转化率,已认购商品,已取消商品,已退货商品,平均价格,根据您的价格计算的折扣,价格指数,天在促销活动中,总体广告收入率,推广天数（按点击付费）,评价,商品评级,建议
,根据金额和数量,,,,,,,,,,,,,,,,,,,,在下单日期,在下单日期,,,目前,,,,,,最近 28 天内
,—,3 542 745 ₽,1.0,213.0,12 031 806,"0,15%",2 092 887,"0,12%",2 483,"34,38%",719 506,"7,37%",53 030,"0,46%",55 513,"33,39%",17 708,15 470,"93,04%",16 475,1 178,55,200 ₽,0.64,—,99365中的,0.05,0365中的,5 054,"4,8",
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总计和平均值,A,1 355 574 ₽,0.38,106.0,6 485 958,"0,18%",163 290,"0,39%",641,"167,77%",273 952,"10,36%",28 374,"0,45%",29 015,"41,76%",11 849,10 816,"94,46%",11 192,630,27,114 ₽,0.74,有利,176365中的,0.03,4365中的,3 655,"4,8",
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请添加至促销活动
"Mop, length 13 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS 货号HAA132-01-Y1,A,245 029 ₽,0.07,184.0,1 090 398,"0,13%",31 206,"0,12%",38,"180,02%",56 178,"8,26%",4 643,"0,43%",4 681,"29,72%",1 380,1 255,"94,06%",1 298,78,4,178 ₽,0.68,中等,154365中的,0.08,2365中的,450,"4,8",
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请提高折扣
"Mop, length 25 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS 货号HAA180-04,A,244 964 ₽,0.07,543.0,171 516,"0,61%",4 820,"0,12%",6,"658,92%",31 760,"8,49%",2 698,"1,58%",2 704,"38,99%",1 052,840,"96,01%",1 010,39,3,233 ₽,0.6,不利,94365中的,0.0,0365中的,257,"4,8",
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请添加至促销活动
"Mop, length 10.0 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS 货号HAA132-03-Y1,A,78 305 ₽,0.02,634.0,55 536,"0,52%",2 094,"0,1%",2,"728,13%",15 247,"5,83%",889,"1,6%",891,"32,62%",290,219,"95,52%",277,13,0,270 ₽,0.55,不利,94365中的,0.0,0365中的,67,"4,8",
,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请添加至促销活动
"Mop, length 25.2 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS 货号HAA180-07,A,59 273 ₽,0.02,418.0,97 651,"0,37%",8 278,"0,16%",13,"157,61%",13 047,"8,16%",1 065,"1,1%",1 078,"33,62%",358,259,"94,41%",338,18,2,166 ₽,0.61,有利,131365中的,0.0,0365中的,89,"4,8",
,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请添加至促销活动
Mop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS 货号HAA132-02-Y1,A,53 181 ₽,0.02,177.0,22 862,"0,08%",12 055,"0,16%",19,"11,25%",1 356,"7,89%",107,"0,55%",126,"17,76%",19,8,"73,68%",14,5,0,2 799 ₽,0.53,不利,184365中的,0.0,0365中的,3,5,
,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请提高折扣
"Vase, 90 cm , Metal, Metal alloy, 1 pcs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS 货号HAA114-10,A,47 941 ₽,0.01,185.0,189 661,"0,22%",33 745,"0,23%",78,"20,01%",6 753,"17,43%",1 177,"0,66%",1 255,"35,6%",419,331,"88,54%",371,47,1,114 ₽,0.74,中等,159365中的,0.04,0365中的,128,"4,8",
,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请添加至促销活动
"Mop, length 10 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS 货号HAA172-01,A,42 040 ₽,0.01,113.0,71 574,"0,05%",19 642,"0,06%",12,"18,12%",3 560,"10,56%",376,"0,54%",388,"9,57%",36,25,"69,44%",25,11,0,1 168 ₽,0.56,不利,254365中的,0.18,7365中的,14,"4,8",
,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请提高折扣
"Vase, 24.8 cm , Resin, 1 pcs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS 货号HAA048-02,A,39 815 ₽,0.01,383.0,23 398,"0,7%",1 453,"0,07%",1,"678,25%",9 855,"4,65%",458,"1,96%",459,"35,81%",164,145,"88,41%",145,19,0,243 ₽,0.61,没有指数,40365中的,0.0,0365中的,1,"4,8",
,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请添加至促销活动
"Mop, length 10 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
